question,observations,yes_min,yes_max,no_min,no_max,gross_min,gross_max,net_min,net_max,max_yes_move,max_no_move,max_gross_edge_move,average_gross_edge,average_net_edge,yes_range,no_range,gross_edge_range,net_edge_range,latest_timestamp,latest_yes_ask,latest_no_ask,latest_gross_edge,latest_net_edge,yes_move,no_move,gross_edge_move,net_edge_move,signal,watchlist,watch_score,rank
Will Andy Beshear win the 2028 Democratic presidential nomination?,42,0.026,0.026,0.975,0.975,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:01.299139+00:00,0.026,0.975,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,11
Will Andy Beshear win the 2028 US Presidential Election?,42,0.011,0.011,0.99,0.99,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:10.038945+00:00,0.011,0.99,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,12
Will Barack Obama win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:03.962939+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,13
Will Bernie Sanders win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:04.505057+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,14
Will Chris Murphy win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:06.507486+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,15
Will Cory Booker win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.995,0.995,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:02.143639+00:00,0.006,0.995,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,16
Will Donald Trump Jr. win the 2028 US Presidential Election?,42,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:11.276192+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,17
Will Donald Trump win the 2028 US Presidential Election?,42,0.014,0.014,0.989,0.989,-0.0029999999999998,-0.0029999999999998,-0.0049999999999998,-0.0049999999999998,0.0,0.0,0.0,-0.0029999999999998006,-0.0049999999999998,0.0,0.0,0.0,0.0,2026-09-21 16:04:11.030253+00:00,0.014,0.989,-0.0029999999999998,-0.0049999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,18
Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,42,0.012,0.012,0.989,0.989,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:05.751663+00:00,0.012,0.989,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,19
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,42,0.015,0.015,0.986,0.986,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:12.650625+00:00,0.015,0.986,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,20
Will Elissa Slotkin win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:07.884745+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,21
Will Elissa Slotkin win the 2028 US Presidential Election?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:15.217093+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,22
Will Elon Musk win the 2028 US Presidential Election?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:12.291466+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,23
Will Gavin Newsom win the 2028 US Presidential Election?,42,0.083,0.083,0.918,0.918,-0.0010000000000001,-0.0010000000000001,-0.0030000000000001,-0.0030000000000001,0.0,0.0,0.0,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,2026-09-21 16:04:08.885981+00:00,0.083,0.918,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,24
Will Gina Raimondo win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:03.014030+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,25
Will Glenn Youngkin win the 2028 US Presidential Election?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:10.178835+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,26
Will Greg Abbott win the 2028 US Presidential Election?,42,0.005,0.005,0.997,0.997,-0.002,-0.002,-0.004,-0.004,0.0,0.0,0.0,-0.002,-0.004,0.0,0.0,0.0,0.0,2026-09-21 16:04:12.152599+00:00,0.005,0.997,-0.002,-0.004,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,27
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,41,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,2026-09-21 16:04:01.170638+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,28
Will Gretchen Whitmer win the 2028 US Presidential Election?,42,0.004,0.004,0.997,0.997,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:09.892452+00:00,0.004,0.997,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,29
Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:07.732659+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,30
Will Hunter Biden win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.996,0.996,-0.002,-0.002,-0.004,-0.004,0.0,0.0,0.0,-0.002,-0.004,0.0,0.0,0.0,0.0,2026-09-21 16:04:05.033440+00:00,0.006,0.996,-0.002,-0.004,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,31
Will Ivanka Trump win the 2028 US Presidential Election?,42,0.006,0.006,0.996,0.996,-0.002,-0.002,-0.004,-0.004,0.0,0.0,0.0,-0.002,-0.004,0.0,0.0,0.0,0.0,2026-09-21 16:04:13.121072+00:00,0.006,0.996,-0.002,-0.004,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,32
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,42,0.013,0.013,0.988,0.988,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:01.789404+00:00,0.013,0.988,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,33
Will JB Pritzker win the 2028 US Presidential Election?,42,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:10.690693+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,34
Will JD Vance win the 2028 US Presidential Election?,42,0.208,0.208,0.793,0.793,-0.0010000000000001,-0.0010000000000001,-0.0030000000000001,-0.0030000000000001,0.0,0.0,0.0,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,2026-09-21 16:04:08.675476+00:00,0.208,0.793,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,35
Will James Talarico win the 2028 Democratic presidential nomination?,42,0.025,0.025,0.976,0.976,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:07.261196+00:00,0.025,0.976,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,36
Will James Talarico win the 2028 US Presidential Election?,42,0.008,0.008,0.993,0.993,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:14.217744+00:00,0.008,0.993,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,37
Will Jamie Dimon win the 2028 US Presidential Election?,42,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:13.632700+00:00,0.005,0.996,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,38
Will Jared Polis win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:03.661556+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,39
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:06.683637+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,40
Will Jon Ossoff win the 2028 Democratic presidential nomination?,42,0.172,0.172,0.829,0.829,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:01.511770+00:00,0.172,0.829,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,41
Will Jon Ossoff win the 2028 US Presidential Election?,42,0.116,0.116,0.885,0.885,-0.0010000000000001,-0.0010000000000001,-0.0030000000000001,-0.0030000000000001,0.0,0.0,0.0,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,2026-09-21 16:04:14.090718+00:00,0.116,0.885,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,42
Will Jon Stewart win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.997,0.997,-0.002,-0.002,-0.004,-0.004,0.0,0.0,0.0,-0.002,-0.004,0.0,0.0,0.0,0.0,2026-09-21 16:04:03.815825+00:00,0.005,0.997,-0.002,-0.004,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,43
Will Josh Shapiro win the 2028 Democratic presidential nomination?,41,0.058,0.058,0.943,0.943,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,2026-09-21 16:04:00.257098+00:00,0.058,0.943,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,44
Will Josh Shapiro win the 2028 US Presidential Election?,42,0.031,0.031,0.97,0.97,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:09.391133+00:00,0.031,0.97,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,45
Will Josh Stein win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:08.166759+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,46
Will Kamala Harris win the 2028 US Presidential Election?,42,0.047,0.047,0.954,0.954,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:10.353733+00:00,0.047,0.954,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,47
Will Marco Rubio win the 2028 US Presidential Election?,42,0.089,0.089,0.912,0.912,-0.0010000000000001,-0.0010000000000001,-0.0030000000000001,-0.0030000000000001,0.0,0.0,0.0,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,2026-09-21 16:04:09.531156+00:00,0.089,0.912,-0.0010000000000001,-0.0030000000000001,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,48
Will Mark Cuban win the 2028 Democratic presidential nomination?,42,0.004,0.004,0.997,0.997,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:01.667258+00:00,0.004,0.997,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,49
Will Mark Kelly win the 2028 Democratic presidential nomination?,42,0.031,0.031,0.97,0.97,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:02.640828+00:00,0.031,0.97,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,50
Will Michelle Obama win the 2028 Democratic presidential nomination?,42,0.003,0.003,0.998,0.998,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:02.490433+00:00,0.003,0.998,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,51
Will Michelle Obama win the 2028 US Presidential Election?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:13.500512+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,52
Will Pete Buttigieg win the 2028 US Presidential Election?,42,0.027,0.027,0.974,0.974,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:09.190411+00:00,0.027,0.974,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,53
Will Phil Murphy win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:04.720659+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,54
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,42,0.019,0.019,0.982,0.982,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:02.797704+00:00,0.019,0.982,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,55
Will Raphael Warnock win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.995,0.995,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:02.000578+00:00,0.006,0.995,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,56
Will Ro Khanna win the 2028 Democratic presidential nomination?,42,0.014,0.014,0.987,0.987,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:07.026106+00:00,0.014,0.987,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,57
Will Ro Khanna win the 2028 US Presidential Election?,42,0.011,0.011,0.991,0.991,-0.002,-0.002,-0.004,-0.004,0.0,0.0,0.0,-0.002,-0.004,0.0,0.0,0.0,0.0,2026-09-21 16:04:13.770793+00:00,0.011,0.991,-0.002,-0.004,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,58
Will Ron DeSantis win the 2028 US Presidential Election?,42,0.02,0.02,0.984,0.984,-0.004,-0.004,-0.006,-0.006,0.0,0.0,0.0,-0.004,-0.006,0.0,0.0,0.0,0.0,2026-09-21 16:04:11.640608+00:00,0.02,0.984,-0.004,-0.006,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,59
Will Roy Cooper win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:03.301189+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,60
Will Ruben Gallego win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:06.853954+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,61
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:00.777427+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,62
Will Thomas Massie win the 2028 US Presidential Election?,42,0.011,0.011,0.99,0.99,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:13.912682+00:00,0.011,0.99,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,63
