question,observations,yes_min,yes_max,yes_mean,yes_std,no_min,no_max,no_mean,no_std,combined_min,combined_max,combined_mean,combined_std,gross_min,gross_max,gross_mean,gross_std,max_abs_yes_change,max_abs_no_change,max_abs_combined_change,max_abs_edge_change,observations_below_one,observations_at_one,observations_above_one,yes_move,no_move,combined_move,gross_edge_move,movement_observed
Will Jon Stewart win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.005,0.0,0.997,0.997,0.9970000000000001,0.0,1.002,1.002,1.002,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Jon Ossoff win the 2028 US Presidential Election?,42,0.116,0.116,0.11599999999999999,0.0,0.885,0.885,0.885,0.0,1.001,1.001,1.001,0.0,-0.0010000000000001,-0.0010000000000001,-0.0010000000000001,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Kamala Harris win the 2028 US Presidential Election?,42,0.047,0.047,0.047,0.0,0.954,0.954,0.954,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Marco Rubio win the 2028 US Presidential Election?,42,0.089,0.089,0.089,0.0,0.912,0.912,0.912,0.0,1.001,1.001,1.001,0.0,-0.0010000000000001,-0.0010000000000001,-0.0010000000000001,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Mark Cuban win the 2028 Democratic presidential nomination?,42,0.004,0.004,0.004,0.0,0.997,0.997,0.9970000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Mark Kelly win the 2028 Democratic presidential nomination?,42,0.031,0.031,0.031,0.0,0.97,0.97,0.9700000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Michelle Obama win the 2028 Democratic presidential nomination?,42,0.003,0.003,0.003,0.0,0.998,0.998,0.9979999999999999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Michelle Obama win the 2028 US Presidential Election?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Pete Buttigieg win the 2028 US Presidential Election?,42,0.027,0.027,0.026999999999999996,0.0,0.974,0.974,0.974,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Phil Murphy win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,42,0.019,0.019,0.019,0.0,0.982,0.982,0.982,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Raphael Warnock win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.006,0.0,0.995,0.995,0.995,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Ro Khanna win the 2028 Democratic presidential nomination?,42,0.014,0.014,0.013999999999999999,0.0,0.987,0.987,0.987,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Ro Khanna win the 2028 US Presidential Election?,42,0.011,0.011,0.011,0.0,0.991,0.991,0.991,0.0,1.002,1.002,1.002,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Ron DeSantis win the 2028 US Presidential Election?,42,0.02,0.02,0.02,0.0,0.984,0.984,0.9840000000000001,0.0,1.004,1.004,1.004,0.0,-0.004,-0.004,-0.004,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Roy Cooper win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Ruben Gallego win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Thomas Massie win the 2028 US Presidential Election?,42,0.011,0.011,0.011,0.0,0.99,0.99,0.99,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Tucker Carlson win the 2028 US Presidential Election?,42,0.016,0.016,0.016,0.0,0.985,0.985,0.985,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Tulsi Gabbard win the 2028 US Presidential Election?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Wes Moore win the 2028 Democratic presidential nomination?,42,0.018,0.018,0.018,0.0,0.983,0.983,0.983,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Wes Moore win the 2028 US Presidential Election?,42,0.009,0.009,0.009,0.0,0.992,0.992,0.992,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Zohran Mamdani win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Jon Ossoff win the 2028 Democratic presidential nomination?,42,0.172,0.172,0.172,0.0,0.829,0.829,0.829,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will James Talarico win the 2028 US Presidential Election?,42,0.008,0.008,0.008,0.0,0.993,0.993,0.9930000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Jared Polis win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Jamie Dimon win the 2028 US Presidential Election?,42,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,42,0.131,0.131,0.131,0.0,0.87,0.87,0.87,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Andrew Yang win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Andy Beshear win the 2028 Democratic presidential nomination?,42,0.026,0.026,0.025999999999999995,0.0,0.975,0.975,0.9749999999999999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Andy Beshear win the 2028 US Presidential Election?,42,0.011,0.011,0.011,0.0,0.99,0.99,0.99,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Barack Obama win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Bernie Sanders win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Chris Murphy win the 2028 Democratic presidential nomination?,42,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Cory Booker win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.006,0.0,0.995,0.995,0.995,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Donald Trump Jr. win the 2028 US Presidential Election?,42,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Donald Trump win the 2028 US Presidential Election?,42,0.014,0.014,0.013999999999999999,0.0,0.989,0.989,0.9889999999999999,0.0,1.003,1.003,1.003,0.0,-0.0029999999999998,-0.0029999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,42,0.012,0.012,0.012,0.0,0.989,0.989,0.9889999999999999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,42,0.015,0.015,0.015,0.0,0.986,0.986,0.986,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Elissa Slotkin win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Elissa Slotkin win the 2028 US Presidential Election?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Elon Musk win the 2028 US Presidential Election?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Gavin Newsom win the 2028 US Presidential Election?,42,0.083,0.083,0.083,0.0,0.918,0.918,0.9180000000000001,0.0,1.001,1.001,1.001,0.0,-0.0010000000000001,-0.0010000000000001,-0.0010000000000001,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Gina Raimondo win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Glenn Youngkin win the 2028 US Presidential Election?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Greg Abbott win the 2028 US Presidential Election?,42,0.005,0.005,0.005,0.0,0.997,0.997,0.9970000000000001,0.0,1.002,1.002,1.002,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,41,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,41,0.0,0.0,0.0,0.0,False
Will Gretchen Whitmer win the 2028 US Presidential Election?,42,0.004,0.004,0.004,0.0,0.997,0.997,0.9970000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Hunter Biden win the 2028 Democratic presidential nomination?,42,0.006,0.006,0.006,0.0,0.996,0.996,0.996,0.0,1.002,1.002,1.002,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Ivanka Trump win the 2028 US Presidential Election?,42,0.006,0.006,0.006,0.0,0.996,0.996,0.996,0.0,1.002,1.002,1.002,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,42,0.013,0.013,0.012999999999999998,0.0,0.988,0.988,0.9880000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will JB Pritzker win the 2028 US Presidential Election?,42,0.005,0.005,0.005,0.0,0.996,0.996,0.996,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will JD Vance win the 2028 US Presidential Election?,42,0.208,0.208,0.20799999999999996,0.0,0.793,0.793,0.7930000000000001,0.0,1.001,1.001,1.001,0.0,-0.0010000000000001,-0.0010000000000001,-0.0010000000000001,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will James Talarico win the 2028 Democratic presidential nomination?,42,0.025,0.025,0.025,0.0,0.976,0.976,0.976,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Xi Jinping out before 2027?,42,0.039,0.039,0.039,0.0,0.962,0.962,0.962,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
