timestamp,question,yes_bid,yes_ask,no_bid,no_ask,combined_yes_no_ask,gross_edge,estimated_fees,estimated_slippage,net_edge,complete_orderbook,opportunity,status
2026-09-21T13:34:00.943271+00:00,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,0.018,0.019,0.981,0.982,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:01.081421+00:00,Will Gina Raimondo win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:01.297643+00:00,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:01.435550+00:00,Will Roy Cooper win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:01.575134+00:00,Will John Fetterman win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:01.764403+00:00,Will Jared Polis win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:01.897532+00:00,Will Jon Stewart win the 2028 Democratic presidential nomination?,0.003,0.005,0.995,0.997,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:02.062465+00:00,Will Barack Obama win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:02.204125+00:00,Will Hillary Clinton win the 2028 Democratic presidential nomination?,0.002,0.004,0.996,0.998,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:02.422146+00:00,Will Liz Cheney win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:02.569254+00:00,Will Bernie Sanders win the 2028 Democratic presidential nomination?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:02.705487+00:00,Will Phil Murphy win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:02.879629+00:00,Will LeBron James win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:03.032156+00:00,Will Hunter Biden win the 2028 Democratic presidential nomination?,0.004,0.006,0.994,0.996,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:03.170660+00:00,Will George Clooney win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:03.368418+00:00,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,0.006,0.007,0.993,0.994,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:03.506926+00:00,Will MrBeast win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:03.642631+00:00,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,0.011,0.012,0.988,0.989,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:03.858495+00:00,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:04.013295+00:00,Will Andrew Yang win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:04.246371+00:00,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:04.451467+00:00,Will Kim Kardashian win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:04.589891+00:00,Will Chris Murphy win the 2028 Democratic presidential nomination?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:04.744127+00:00,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:04.962740+00:00,Will Ruben Gallego win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:05.133252+00:00,Will Ro Khanna win the 2028 Democratic presidential nomination?,0.013,0.014,0.986,0.987,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:05.292881+00:00,Will James Talarico win the 2028 Democratic presidential nomination?,0.024,0.025,0.975,0.976,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:05.488677+00:00,Will Graham Platner win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:05.632576+00:00,Will Abigail Spanberger win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:05.758366+00:00,Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:05.959221+00:00,Will Elissa Slotkin win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:06.106990+00:00,Will Adam Schiff win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:06.248535+00:00,Will Josh Stein win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:06.383151+00:00,Will Alex Padilla win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:06.612633+00:00,"Putin out as President of Russia by December 31, 2026?",0.04,0.05,0.95,0.96,1.01,-0.010000000000000009,0.00101,0.00101,-0.01202000000000001,True,False,NO_SIGNAL
2026-09-21T13:34:06.765360+00:00,Will JD Vance win the 2028 US Presidential Election?,0.207,0.208,0.792,0.793,1.0010000000000001,-0.001000000000000112,0.0010010000000000002,0.0010010000000000002,-0.0030020000000001122,True,False,NO_SIGNAL
2026-09-21T13:34:06.903890+00:00,Will Gavin Newsom win the 2028 US Presidential Election?,0.082,0.083,0.917,0.918,1.0010000000000001,-0.001000000000000112,0.0010010000000000002,0.0010010000000000002,-0.0030020000000001122,True,False,NO_SIGNAL
2026-09-21T13:34:07.136720+00:00,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,0.13,0.131,0.869,0.87,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:07.290194+00:00,Will Pete Buttigieg win the 2028 US Presidential Election?,0.026,0.027,0.973,0.974,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:07.433050+00:00,Will Josh Shapiro win the 2028 US Presidential Election?,0.03,0.031,0.969,0.97,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:07.650501+00:00,Will Marco Rubio win the 2028 US Presidential Election?,0.088,0.089,0.911,0.912,1.0010000000000001,-0.001000000000000112,0.0010010000000000002,0.0010010000000000002,-0.0030020000000001122,True,False,NO_SIGNAL
2026-09-21T13:34:07.828842+00:00,Will Wes Moore win the 2028 US Presidential Election?,0.008,0.009,0.991,0.992,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:07.980870+00:00,Will Gretchen Whitmer win the 2028 US Presidential Election?,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:08.203672+00:00,Will Andy Beshear win the 2028 US Presidential Election?,0.01,0.011,0.989,0.99,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:08.364653+00:00,Will Glenn Youngkin win the 2028 US Presidential Election?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:08.577569+00:00,Will Kamala Harris win the 2028 US Presidential Election?,0.046,0.047,0.953,0.954,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:08.727754+00:00,Will Stephen Smith win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:08.872284+00:00,Will JB Pritzker win the 2028 US Presidential Election?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:09.003597+00:00,Will Tulsi Gabbard win the 2028 US Presidential Election?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:09.214040+00:00,Will Donald Trump win the 2028 US Presidential Election?,0.011,0.014,0.986,0.989,1.003,-0.0029999999999998916,0.001003,0.001003,-0.0050059999999998925,True,False,NO_SIGNAL
2026-09-21T13:34:09.358687+00:00,Will Donald Trump Jr. win the 2028 US Presidential Election?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:09.503789+00:00,Will Nikki Haley win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:09.689605+00:00,Will Ron DeSantis win the 2028 US Presidential Election?,0.016,0.02,0.98,0.984,1.004,-0.0040000000000000036,0.0010040000000000001,0.0010040000000000001,-0.006008000000000003,True,False,NO_SIGNAL
2026-09-21T13:34:09.822562+00:00,Will Tim Walz win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:10.012198+00:00,Will Vivek Ramaswamy win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:10.245147+00:00,Will Greg Abbott win the 2028 US Presidential Election?,0.003,0.005,0.995,0.997,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:10.397828+00:00,Will Elon Musk win the 2028 US Presidential Election?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:10.546347+00:00,Will LeBron James win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:10.739688+00:00,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,0.014,0.015,0.985,0.986,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:10.870871+00:00,Will Tucker Carlson win the 2028 US Presidential Election?,0.015,0.016,0.984,0.985,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:10.998951+00:00,Will Kim Kardashian win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:11.197755+00:00,Will Ivanka Trump win the 2028 US Presidential Election?,0.004,0.006,0.994,0.996,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:11.343416+00:00,Will Zohran Mamdani win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:11.498858+00:00,Will Michelle Obama win the 2028 US Presidential Election?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:11.722547+00:00,Will Jamie Dimon win the 2028 US Presidential Election?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:11.871345+00:00,Will Ro Khanna win the 2028 US Presidential Election?,0.009,0.011,0.989,0.991,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:34:12.024047+00:00,Will Thomas Massie win the 2028 US Presidential Election?,0.01,0.011,0.989,0.99,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:12.161844+00:00,Will Jon Ossoff win the 2028 US Presidential Election?,0.115,0.116,0.884,0.885,1.0010000000000001,-0.001000000000000112,0.0010010000000000002,0.0010010000000000002,-0.0030020000000001122,True,False,NO_SIGNAL
2026-09-21T13:34:12.362275+00:00,Will James Talarico win the 2028 US Presidential Election?,0.007,0.008,0.992,0.993,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:12.499396+00:00,Will Eric Trump win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:12.623294+00:00,Will Pete Hegseth win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:12.858872+00:00,Will Jalen Brunson win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:13.069143+00:00,Will Abigail Spanberger win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:13.210829+00:00,Will Hakeem Jeffries win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:13.416085+00:00,Will Elissa Slotkin win the 2028 US Presidential Election?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:13.588551+00:00,Will Adam Schiff win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:13.714891+00:00,Will Josh Stein win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:13.934816+00:00,Will Alex Padilla win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:14.072768+00:00,Will Candace Owens win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:14.223527+00:00,Will Tim Scott win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:14.430505+00:00,Will Mike Johnson win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:14.570400+00:00,Will Doug Burgum win the 2028 US Presidential Election?,,,,,,,,,,False,False,incomplete_orderbook
