question,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,yes_available_tokens,no_available_tokens,yes_notional,no_notional,executable_quantity,executable_cost,total_cost,gross_profit,gross_profit_pct,executable_gross_profit,estimated_fees,net_profit,net_profit_pct
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,0.003,0.004,0.996,0.997,36283.14,6266.85,145.13256,6248.04945,6266.85,6273.116849999999,1.001,-0.0009999999999998899,-0.09990009990008891,-6.266849999999311,0.0,-0.0009999999999998899,-0.09990009990008891
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,0.012,0.013,0.987,0.988,306.76,5559.61,3.9878799999999996,5492.894679999999,306.76,307.06675999999993,1.001,-0.0009999999999998899,-0.09990009990008891,-0.3067599999999662,0.0,-0.0009999999999998899,-0.09990009990008891
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,0.005,0.006,0.994,0.995,1173909.54,89573.23,7043.457240000001,89125.36385,89573.23,89662.80322999999,1.001,-0.0009999999999998899,-0.09990009990008891,-89.57322999999013,0.0,-0.0009999999999998899,-0.09990009990008891
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,0.005,0.006,0.994,0.995,589.2,37544.13,3.5352000000000006,37356.409349999994,589.2,589.7891999999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.5891999999999351,0.0,-0.0009999999999998899,-0.09990009990008891
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,0.002,0.003,0.997,0.998,84336.57,39993.29,253.00971,39913.303420000004,39993.29,40033.28329,1.001,-0.0009999999999998899,-0.09990009990008891,-39.993289999995596,0.0,-0.0009999999999998899,-0.09990009990008891
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,0.03,0.031,0.969,0.97,14704.65,178.28,455.84415,172.9316,178.28,178.45827999999997,1.001,-0.0009999999999998899,-0.09990009990008891,-0.17827999999998037,0.0,-0.0009999999999998899,-0.09990009990008891
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,10521981432803570450946212503203364998108630328528216082760514453664705157397,91949042216127305292438280992722171735754548787382833799906976841509942727662,0.018,0.019,0.981,0.982,1674.97,1991.49,31.82443,1955.64318,1674.97,1676.6449699999998,1.001,-0.0009999999999998899,-0.09990009990008891,-1.6749699999998156,0.0,-0.0009999999999998899,-0.09990009990008891
Will Gina Raimondo win the 2028 Democratic presidential nomination?,35165603539035270209469650915267170915291414186795231160733227083640059691764,82254794773423437491598574581796732934760602553828664932786984448280136473130,0.001,0.002,0.998,0.999,124175.78,672885.86,248.35156,672212.97414,124175.78,124299.95577999999,1.001,-0.0009999999999998899,-0.09990009990008891,-124.17577999998632,0.0,-0.0009999999999998899,-0.09990009990008891
Will Zohran Mamdani win the 2028 Democratic presidential nomination?,19323997520040734631220675039559156784534982703459512097490198935565229528445,111309365336519526711604102518316708823622751854213281307404397618571408959194,0.001,0.002,0.998,0.999,89169.88,552008.64,178.33976,551456.63136,89169.88,89259.04987999999,1.001,-0.0009999999999998899,-0.09990009990008891,-89.16987999999019,0.0,-0.0009999999999998899,-0.09990009990008891
Will Roy Cooper win the 2028 Democratic presidential nomination?,30732552320006664177902085971957467957450485111214036633872573588757974348601,55053374667733007627913689484290555932799177921000957543346276204775142445823,0.001,0.002,0.998,0.999,134650.74,138982.42,269.30147999999997,138843.43758000003,134650.74,134785.39073999997,1.001,-0.0009999999999998899,-0.09990009990008891,-134.65073999998515,0.0,-0.0009999999999998899,-0.09990009990008891
Will Jared Polis win the 2028 Democratic presidential nomination?,42119164854283656238382173699154739480090965550328051492328192273011556335098,39150381508679235943386404690610035044747196600759141560840372170757042543675,0.001,0.002,0.998,0.999,214339.91,58852.27,428.67982,58793.417729999994,58852.27,58911.12226999999,1.001,-0.0009999999999998899,-0.09990009990008891,-58.85226999999352,0.0,-0.0009999999999998899,-0.09990009990008891
Will Jon Stewart win the 2028 Democratic presidential nomination?,58343456405874365460518182619380252930558598368174305791768670198253267891911,84566561349071752664514432513198569980219178901068420341175150225620958953893,0.003,0.004,0.996,0.997,256.44,1226.22,1.02576,1222.54134,256.44,256.69644,1.001,-0.0009999999999998899,-0.09990009990008891,-0.25643999999997175,0.0,-0.0009999999999998899,-0.09990009990008891
Will Barack Obama win the 2028 Democratic presidential nomination?,88927218779847397120407909832537568114340511586397698395193736044476021744522,93993883668914241189795812807312922412111034935516092303580333564217329905759,0.001,0.002,0.998,0.999,138015.21,114824.58,276.03042,114709.75542,114824.58,114939.40457999999,1.001,-0.0009999999999998899,-0.09990009990008891,-114.82457999998735,0.0,-0.0009999999999998899,-0.09990009990008891
Will Hillary Clinton win the 2028 Democratic presidential nomination?,6349038249650226718426900942104344803413105653564595362433352811865798195800,57931882677606943294773135604094039468334392354204920135953322654005083822055,0.001,0.002,0.998,0.999,74.75,96120.53,0.1495,96024.40947,74.75,74.82475,1.001,-0.0009999999999998899,-0.09990009990008891,-0.07474999999999177,0.0,-0.0009999999999998899,-0.09990009990008891
Will Bernie Sanders win the 2028 Democratic presidential nomination?,113510300123120868861281132282742729065975487298059944817273881893086209196585,3444964147133304300560138317203877470064591148213906708394693248804691192318,0.004,0.005,0.995,0.996,9580.95,2256.74,47.90475000000001,2247.7130399999996,2256.74,2258.9967399999996,1.001,-0.0009999999999998899,-0.09990009990008891,-2.256739999999751,0.0,-0.0009999999999998899,-0.09990009990008891
Will Phil Murphy win the 2028 Democratic presidential nomination?,81633484456710374417231462107666791993850637546563366185897100962157481970040,114507466536734360808195115190160357255467689128176113085692265197019898971527,0.001,0.002,0.998,0.999,302770.11,45870.04,605.54022,45824.16996,45870.04,45915.910039999995,1.001,-0.0009999999999998899,-0.09990009990008891,-45.87003999999495,0.0,-0.0009999999999998899,-0.09990009990008891
Will Hunter Biden win the 2028 Democratic presidential nomination?,11343337042526652606304508556838778144915122118685013460142819817079620240439,19117858613830240204442128472263675815111662346578092643025820800380629933012,0.004,0.006,0.994,0.996,40753.16,14812.44,244.51896000000002,14753.19024,14812.44,14842.06488,1.002,-0.0020000000000000018,-0.19960079840319378,-29.624880000000026,0.0,-0.0020000000000000018,-0.19960079840319378
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,46211769122513729244602558513001215391004042100934296321661285791281233261657,76057920052421891902791411567177996435483774677774664174053982044923692373687,0.006,0.007,0.993,0.994,10.2,307.29,0.07139999999999999,305.44626,10.2,10.210199999999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.010199999999998877,0.0,-0.0009999999999998899,-0.09990009990008891
Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,40963724357262746498642320898188195118391211877976821531149510360187173789737,14959910401705469574520698331840889689202579612030624016640567510369602599866,0.011,0.012,0.988,0.989,18935.79,725.04,227.22948000000002,717.0645599999999,725.04,725.7650399999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.7250399999999201,0.0,-0.0009999999999998899,-0.09990009990008891
Will Andrew Yang win the 2028 Democratic presidential nomination?,102504892414163237174864879683522880588750452841477290216845150938663289742135,21234886083000978203440582985665409733123024063268807484684316771005736994028,0.001,0.002,0.998,0.999,830058.7,485482.69,1660.1173999999999,484997.20731,485482.69,485968.17269,1.001,-0.0009999999999998899,-0.09990009990008891,-485.48268999994656,0.0,-0.0009999999999998899,-0.09990009990008891
Will Chris Murphy win the 2028 Democratic presidential nomination?,8815924480259634499011776432080696931704057619336093802050596292915996723758,45099054006923138281311463758770234951153596952213440096254242321807308634603,0.004,0.005,0.995,0.996,3783.03,35836.26,18.91515,35692.91496,3783.03,3786.81303,1.001,-0.0009999999999998899,-0.09990009990008891,-3.7830299999995836,0.0,-0.0009999999999998899,-0.09990009990008891
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,22103094389913052942362639589409218272323168761614999702665821259175535456835,10893367019711826592833821276710094799225035200719824531380610476790390190688,0.001,0.002,0.998,0.999,7198.4,101900.23,14.396799999999999,101798.32977,7198.4,7205.598399999999,1.001,-0.0009999999999998899,-0.09990009990008891,-7.198399999999207,0.0,-0.0009999999999998899,-0.09990009990008891
Will Ruben Gallego win the 2028 Democratic presidential nomination?,94658518227479141344875476648819337938746150529318297759951212169676959854478,89549550119611798541187132573193884477265258658615163602217456913355320927577,0.001,0.002,0.998,0.999,86678.35,162109.87,173.35670000000002,161947.76013,86678.35,86765.02835,1.001,-0.0009999999999998899,-0.09990009990008891,-86.67834999999046,0.0,-0.0009999999999998899,-0.09990009990008891
Will Ro Khanna win the 2028 Democratic presidential nomination?,20374050108659687356429749447884880983779889840007423115803042125707701269498,2610336024939503976910443133965525155112118948066646227040491461288298872236,0.013,0.014,0.986,0.987,6273.52,3965.66,87.82928000000001,3914.1064199999996,3965.66,3969.6256599999992,1.001,-0.0009999999999998899,-0.09990009990008891,-3.965659999999563,0.0,-0.0009999999999998899,-0.09990009990008891
Will James Talarico win the 2028 Democratic presidential nomination?,52535923606561722941567320365820395300598958985353103429657683100920373025261,20643805904661385280242837899001038341346631607217619709766724611396929658707,0.024,0.025,0.975,0.976,9641.0,350.75,241.025,342.332,350.75,351.10074999999995,1.001,-0.0009999999999998899,-0.09990009990008891,-0.35074999999996137,0.0,-0.0009999999999998899,-0.09990009990008891
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,67834126955354466786049932246962827069514258320708123726234642047236874537300,85842730802801029317331291122638780955014362480310249655739704629273608465884,0.001,0.002,0.998,0.999,56424.76,1231956.72,112.84952000000001,1230724.76328,56424.76,56481.18476,1.001,-0.0009999999999998899,-0.09990009990008891,-56.42475999999379,0.0,-0.0009999999999998899,-0.09990009990008891
Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,23940655822937666554179928631365405234554137716172612284986318717257054413669,74558297484750387958365610940184220316219182006445006209048673137036909262424,0.001,0.002,0.998,0.999,353355.67,685130.74,706.71134,684445.6092599999,353355.67,353709.02566999994,1.001,-0.0009999999999998899,-0.09990009990008891,-353.3556699999611,0.0,-0.0009999999999998899,-0.09990009990008891
Will Elissa Slotkin win the 2028 Democratic presidential nomination?,48455736546094517370011063312529885328905072240106316551156607253162886762655,21910945789202551310737182019481519202352824012676720876277298283641159588352,0.001,0.002,0.998,0.999,214318.6,1615419.32,428.6372,1613803.90068,214318.6,214532.91859999998,1.001,-0.0009999999999998899,-0.09990009990008891,-214.3185999999764,0.0,-0.0009999999999998899,-0.09990009990008891
Will Josh Stein win the 2028 Democratic presidential nomination?,88892629978057552473594496509394432528313837466696628191322608851106929962536,86408082986810982428934766746057237103501895775284376283076301431054177694153,0.001,0.002,0.998,0.999,1778355.99,932068.44,3556.71198,931136.37156,932068.44,933000.5084399999,1.001,-0.0009999999999998899,-0.09990009990008891,-932.0684399998972,0.0,-0.0009999999999998899,-0.09990009990008891
"Putin out as President of Russia by December 31, 2026?",350977769852917329387037893294763093471844346281449484439085576212613048126,87073899845581463485186346288398658568334162612963837182986759797304993556208,0.04,0.05,0.95,0.96,97616.51,15365.53,4880.8255,14750.9088,15365.53,15519.185300000001,1.01,-0.010000000000000009,-0.990099009900991,-153.65530000000015,0.0,-0.010000000000000009,-0.990099009900991
Will JD Vance win the 2028 US Presidential Election?,16040015440196279900485035793550429453516625694844857319147506590755961451627,94476829201604408463453426454480212459887267917122244941405244686637914508323,0.207,0.208,0.792,0.793,3873.39,999.92,805.6651199999999,792.93656,999.92,1000.91992,1.0010000000000001,-0.001000000000000112,-0.09990009990011106,-0.9999200000001118,0.0,-0.001000000000000112,-0.09990009990011106
Will Gavin Newsom win the 2028 US Presidential Election?,98250445447699368679516529207365255018790721464590833209064266254238063117329,18823838997443878656879952590502524526556504037944392973476854588563571859850,0.079,0.082,0.918,0.921,438.35,1925.27,35.944700000000005,1773.1736700000001,438.35,439.66505000000006,1.0030000000000001,-0.0030000000000001137,-0.2991026919242386,-1.31505000000005,0.0,-0.0030000000000001137,-0.2991026919242386
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,8113830512143065501177519557124858581375945005490796772950589720955457782465,11493926619286817179231142642565394485790380952577225820901334479399429951651,0.13,0.131,0.869,0.87,636.34,16383.59,83.36054000000001,14253.7233,636.34,636.9763399999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.63633999999993,0.0,-0.0009999999999998899,-0.09990009990008891
Will Pete Buttigieg win the 2028 US Presidential Election?,35629456194498013232473191985311930903993567273832459837879398120893197410860,26087406687932108531005204502244492184534000122992461059156880611150953145122,0.026,0.027,0.973,0.974,19745.11,7493.9,533.11797,7299.058599999999,7493.9,7501.393899999999,1.001,-0.0009999999999998899,-0.09990009990008891,-7.493899999999174,0.0,-0.0009999999999998899,-0.09990009990008891
Will Josh Shapiro win the 2028 US Presidential Election?,1420113190297259908358916251277696183671602680024474979931472444792502392139,9195312844128905514645503106857912558078141569888031031723687687489317147622,0.03,0.031,0.969,0.97,7738.13,8173.17,239.88203000000001,7927.9749,7738.13,7745.868129999999,1.001,-0.0009999999999998899,-0.09990009990008891,-7.738129999999148,0.0,-0.0009999999999998899,-0.09990009990008891
Will Marco Rubio win the 2028 US Presidential Election?,11171618905857319805355893398009978356002287408842633593535559412449299952250,65892530750232246342273648992064742042382898919201083513241874070914353628268,0.088,0.089,0.911,0.912,1068.96,1662.7,95.13744,1516.3824000000002,1068.96,1070.02896,1.0010000000000001,-0.001000000000000112,-0.09990009990011106,-1.0689600000001196,0.0,-0.001000000000000112,-0.09990009990011106
Will Wes Moore win the 2028 US Presidential Election?,35272507273162958827997790327967872292415567859334925862043618606081750011897,374661216370333715221919731169956915917040066803205972387948453758235235593,0.008,0.009,0.991,0.992,22284.4,48457.51,200.5596,48069.84992,22284.4,22306.6844,1.001,-0.0009999999999998899,-0.09990009990008891,-22.284399999997547,0.0,-0.0009999999999998899,-0.09990009990008891
Will Gretchen Whitmer win the 2028 US Presidential Election?,4999047257294547885970323631312419427544062131054733229841947946130772277335,102084577517225131375286042838758381959278092930102485541091152099183604495224,0.003,0.004,0.996,0.997,30889.81,32552.63,123.55924,32454.972110000002,30889.81,30920.69981,1.001,-0.0009999999999998899,-0.09990009990008891,-30.8898099999966,0.0,-0.0009999999999998899,-0.09990009990008891
Will Andy Beshear win the 2028 US Presidential Election?,50507496430692162923857760920722624157737138256097150616293040054748564876552,53112547591746110422238703365888013497196468199611167129486770819598374380742,0.01,0.011,0.989,0.99,26930.18,7638.58,296.23197999999996,7562.1942,7638.58,7646.218579999999,1.001,-0.0009999999999998899,-0.09990009990008891,-7.638579999999159,0.0,-0.0009999999999998899,-0.09990009990008891
Will Glenn Youngkin win the 2028 US Presidential Election?,631059815958854406224163480574507434200946764542129005247984171366597476420,100418331065194201410948024347944500798513421135064468615649525110872253639397,0.001,0.002,0.998,0.999,24683.1,720948.89,49.3662,720227.94111,24683.1,24707.783099999997,1.001,-0.0009999999999998899,-0.09990009990008891,-24.68309999999728,0.0,-0.0009999999999998899,-0.09990009990008891
Will Kamala Harris win the 2028 US Presidential Election?,70663352401606372246362604193214664065595751757222752105245221905399175050480,4988819538339626436114997160558538168652916536529198363646261454228218983102,0.046,0.047,0.953,0.954,26761.34,1353.42,1257.78298,1291.16268,1353.42,1354.77342,1.001,-0.0009999999999998899,-0.09990009990008891,-1.353419999999851,0.0,-0.0009999999999998899,-0.09990009990008891
Will JB Pritzker win the 2028 US Presidential Election?,70948731404464821824516595498024506131170394300814446118501620719416471444076,111825297267676135304812085666512747626812691749338692567733264184356420470119,0.004,0.005,0.995,0.996,41235.59,129250.75,206.17794999999998,128733.747,41235.59,41276.82558999999,1.001,-0.0009999999999998899,-0.09990009990008891,-41.235589999995454,0.0,-0.0009999999999998899,-0.09990009990008891
Will Tulsi Gabbard win the 2028 US Presidential Election?,97633418272282627828834872960145259034624388719803091466146359304286851612172,17854429586516792397214557963923647011517685971868312042416963526864862523185,0.001,0.002,0.998,0.999,719177.0,54282.25,1438.354,54227.96775,54282.25,54336.53225,1.001,-0.0009999999999998899,-0.09990009990008891,-54.28224999999402,0.0,-0.0009999999999998899,-0.09990009990008891
Will Donald Trump win the 2028 US Presidential Election?,11807691644868166983390207408868795383945915035851758101409310535538572683733,72656506786460378316387284276713856836841708169262528054985577978493419440428,0.011,0.015,0.985,0.989,1047.0,31.34,15.705,30.99526,31.34,31.46536,1.004,-0.0040000000000000036,-0.39840637450199234,-0.1253600000000001,0.0,-0.0040000000000000036,-0.39840637450199234
Will Donald Trump Jr. win the 2028 US Presidential Election?,77660944053451874285291959901958937238149180369572698706675030657716494119346,52761630651452310319295064365704431564140478140269624735570317771849185169635,0.004,0.005,0.995,0.996,12406.95,61525.85,62.03475,61279.7466,12406.95,12419.35695,1.001,-0.0009999999999998899,-0.09990009990008891,-12.406949999998634,0.0,-0.0009999999999998899,-0.09990009990008891
Will Ron DeSantis win the 2028 US Presidential Election?,104480514270625615787868282411330496385404675495672110015326625654626015018993,65724430065358897810064400118831287249960059855415477063660293398018349529272,0.016,0.02,0.98,0.984,572.65,800.49,11.453,787.68216,572.65,574.9406,1.004,-0.0040000000000000036,-0.39840637450199234,-2.2906000000000017,0.0,-0.0040000000000000036,-0.39840637450199234
Will Greg Abbott win the 2028 US Presidential Election?,58585097107933138034126275600204468509993701936571284309823871593297754181479,104431860535489654020481219089291817898241901940037260095979653681449084465327,0.003,0.005,0.995,0.997,22107.64,3841.2,110.5382,3829.6764,3841.2,3848.8824,1.002,-0.0020000000000000018,-0.19960079840319378,-7.682400000000007,0.0,-0.0020000000000000018,-0.19960079840319378
Will Elon Musk win the 2028 US Presidential Election?,26641906520532802078452346454133721131611596169940893262820937050881742190686,59064132013843281708610372809406242099497812053529304284160897825180883604145,0.001,0.002,0.998,0.999,828491.52,581502.73,1656.98304,580921.22727,581502.73,582084.2327299999,1.001,-0.0009999999999998899,-0.09990009990008891,-581.5027299999359,0.0,-0.0009999999999998899,-0.09990009990008891
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,76252402837334795047528042167618984089231134882494719641438604550246396692717,82779978600617806806814031291287454099780828258739355925042203335968508676880,0.014,0.015,0.985,0.986,10581.37,1038.99,158.72055,1024.44414,1038.99,1040.0289899999998,1.001,-0.0009999999999998899,-0.09990009990008891,-1.0389899999998855,0.0,-0.0009999999999998899,-0.09990009990008891
Will Tucker Carlson win the 2028 US Presidential Election?,45015916581148592087728250896178171120552786117190685135618507471166113474733,5353194854864999214467212176625447374807704051407621946584152368216621932371,0.015,0.016,0.984,0.985,4931.31,6149.44,78.90096000000001,6057.198399999999,4931.31,4936.241309999999,1.001,-0.0009999999999998899,-0.09990009990008891,-4.931309999999457,0.0,-0.0009999999999998899,-0.09990009990008891
Will Ivanka Trump win the 2028 US Presidential Election?,40932864651005132434669457369564353816786330205469778285035893634458129671101,56215025902031889702122383201324191240581604266667334383154318117703136383150,0.004,0.006,0.994,0.996,12970.63,499101.17,77.82378,497104.76532,12970.63,12996.571259999999,1.002,-0.0020000000000000018,-0.19960079840319378,-25.94126000000002,0.0,-0.0020000000000000018,-0.19960079840319378
Will Michelle Obama win the 2028 US Presidential Election?,88521269813605705303364598280494261510300497312149869577251450871617962933121,1970496541508335019913900195809032484597886384784144327835472760880523550630,0.001,0.002,0.998,0.999,85272.12,938203.62,170.54424,937265.41638,85272.12,85357.39211999999,1.001,-0.0009999999999998899,-0.09990009990008891,-85.27211999999061,0.0,-0.0009999999999998899,-0.09990009990008891
Will Jamie Dimon win the 2028 US Presidential Election?,23692929455124171734375794579007643086071570310019729232490607671061438183936,30050897091642315762983745166096629857367320723415212749446858994810226049012,0.004,0.005,0.995,0.996,28595.91,71914.8,142.97955,71627.14080000001,28595.91,28624.505909999996,1.001,-0.0009999999999998899,-0.09990009990008891,-28.595909999996852,0.0,-0.0009999999999998899,-0.09990009990008891
Will Ro Khanna win the 2028 US Presidential Election?,45264462342307496826883801236629887275526404999716050689931105511159370296978,21034003091803474219272633665814818485285721473911024023600356649009960505229,0.009,0.011,0.989,0.991,9452.74,433.75,103.98013999999999,429.84625,433.75,434.6175,1.002,-0.0020000000000000018,-0.19960079840319378,-0.8675000000000008,0.0,-0.0020000000000000018,-0.19960079840319378
Will Thomas Massie win the 2028 US Presidential Election?,89071282556584199015490241074221756662667488270789034763702585258138302536112,18620821165547265880582330532076859546462061138941862890257010665389427790094,0.01,0.011,0.989,0.99,5223.9,13.11,57.46289999999999,12.9789,13.11,13.123109999999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.013109999999998555,0.0,-0.0009999999999998899,-0.09990009990008891
Will Jon Ossoff win the 2028 US Presidential Election?,110102705199530588976777616718115948005824665233400132417374621750887344831757,98394838816403247684221016468696784125095120854407803889228262583112436699261,0.115,0.116,0.884,0.885,10850.53,6566.18,1258.6614800000002,5811.0693,6566.18,6572.746180000001,1.0010000000000001,-0.001000000000000112,-0.09990009990011106,-6.5661800000007355,0.0,-0.001000000000000112,-0.09990009990011106
Will James Talarico win the 2028 US Presidential Election?,92909595831677784305960426832337551335132297174712723670055008600724483830120,26699870693127605012594021642110712356790266877635966965879322906179628109191,0.007,0.008,0.992,0.993,63579.8,489.81,508.63840000000005,486.38133,489.81,490.2998099999999,1.001,-0.0009999999999998899,-0.09990009990008891,-0.48980999999994607,0.0,-0.0009999999999998899,-0.09990009990008891
Will Elissa Slotkin win the 2028 US Presidential Election?,48603794625473459817558518297806850992009615470611080215039575427157653927669,52728319505612554616109154570709065358779880697251731838206843628919066236833,0.001,0.002,0.998,0.999,1374691.69,100548.37,2749.3833799999998,100447.82162999999,100548.37,100648.91836999998,1.001,-0.0009999999999998899,-0.09990009990008891,-100.54836999998892,0.0,-0.0009999999999998899,-0.09990009990008891
