question,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,total_cost,gross_profit,gross_profit_pct
Will Greg Abbott win the 2028 US Presidential Election?,58585097107933138034126275600204468509993701936571284309823871593297754181479,104431860535489654020481219089291817898241901940037260095979653681449084465327,0.003,0.005,0.995,0.997,1.002,-0.0020000000000000018,-0.19960079840319378
Will Elon Musk win the 2028 US Presidential Election?,26641906520532802078452346454133721131611596169940893262820937050881742190686,59064132013843281708610372809406242099497812053529304284160897825180883604145,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,76252402837334795047528042167618984089231134882494719641438604550246396692717,82779978600617806806814031291287454099780828258739355925042203335968508676880,0.014,0.015,0.985,0.986,1.001,-0.0009999999999998899,-0.09990009990008891
Will Tucker Carlson win the 2028 US Presidential Election?,45015916581148592087728250896178171120552786117190685135618507471166113474733,5353194854864999214467212176625447374807704051407621946584152368216621932371,0.015,0.016,0.984,0.985,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ivanka Trump win the 2028 US Presidential Election?,40932864651005132434669457369564353816786330205469778285035893634458129671101,56215025902031889702122383201324191240581604266667334383154318117703136383150,0.004,0.006,0.994,0.996,1.002,-0.0020000000000000018,-0.19960079840319378
Will Michelle Obama win the 2028 US Presidential Election?,88521269813605705303364598280494261510300497312149869577251450871617962933121,1970496541508335019913900195809032484597886384784144327835472760880523550630,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jamie Dimon win the 2028 US Presidential Election?,23692929455124171734375794579007643086071570310019729232490607671061438183936,30050897091642315762983745166096629857367320723415212749446858994810226049012,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ro Khanna win the 2028 US Presidential Election?,45264462342307496826883801236629887275526404999716050689931105511159370296978,21034003091803474219272633665814818485285721473911024023600356649009960505229,0.009,0.011,0.989,0.991,1.002,-0.0020000000000000018,-0.19960079840319378
Will Thomas Massie win the 2028 US Presidential Election?,89071282556584199015490241074221756662667488270789034763702585258138302536112,18620821165547265880582330532076859546462061138941862890257010665389427790094,0.01,0.011,0.989,0.99,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jon Ossoff win the 2028 US Presidential Election?,110102705199530588976777616718115948005824665233400132417374621750887344831757,98394838816403247684221016468696784125095120854407803889228262583112436699261,0.115,0.116,0.884,0.885,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
Will James Talarico win the 2028 US Presidential Election?,92909595831677784305960426832337551335132297174712723670055008600724483830120,26699870693127605012594021642110712356790266877635966965879322906179628109191,0.007,0.008,0.992,0.993,1.001,-0.0009999999999998899,-0.09990009990008891
Will Elissa Slotkin win the 2028 US Presidential Election?,48603794625473459817558518297806850992009615470611080215039575427157653927669,52728319505612554616109154570709065358779880697251731838206843628919066236833,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Tom Cotton win the 2028 US Presidential Election?,56114071801627868962796345927407759352134024540758530261292405761584104631958,699760440443572634226889331587639832193469028348897842277726584908934436456,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Mark Kelly win the 2028 US Presidential Election?,82484367794922542194748130898709267498229902036004201791332178634402889282171,89821015669503537422389095428651648457077040845329428560948484811370716592120,0.016,0.017,0.983,0.984,1.001,-0.0009999999999998899,-0.09990009990008891
Will Raphael Warnock win the 2028 US Presidential Election?,5019810753168153471323122473105082718702229310401435759781569586768450866932,40124365841715577281967397943205975756839079590013082886367841247396523029061,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Donald Trump win the 2028 Republican presidential nomination?,3039641309958397001906153616677074061284510636204155275446291716739429262374,27828976648682466778776999076215423777766972981338264154049603024771135223200,0.02,0.021,0.979,0.98,1.001,-0.0009999999999998899,-0.09990009990008891
Will J.D. Vance win the 2028 Republican presidential nomination?,40081275558852222228080198821361202017557872256707631666334039001378518619916,78633590736077251574794513664747155551297291244492840448622550955320930591622,0.512,0.513,0.487,0.488,1.001,-0.0009999999999998899,-0.09990009990008891
Will Marco Rubio win the 2028 Republican presidential nomination?,13565458761220145250977753098276900790902214604876327357986816739576288755859,75720156002519829912361786945091022242706922246722836126941546028340974330171,0.153,0.158,0.842,0.847,1.005,-0.004999999999999893,-0.4975124378109347
Will Tulsi Gabbard win the 2028 Republican presidential nomination?,111796631871113641071635832853519973638674140424258605036492112910151603434351,72519808073108999474312955064075820476359073658026830985534265136852842710652,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Glenn Youngkin win the 2028 Republican presidential nomination?,108177352465155946413420144732939501038742536693084796111933355102723645081439,40195401263640671665116916114051111593115139897599831021772971493074676316453,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Donald Trump Jr. win the 2028 Republican presidential nomination?,96972794085445478502118386209219626048407104930213167197946285611747327241358,17764541728623556463430129981248514099360802330077857891779810164830347138778,0.015,0.016,0.984,0.985,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ron DeSantis win the 2028 Republican presidential nomination?,12127975650736113116407758794754973741525044713193258995588171654429754588610,95344728193244020854716971584323868633691370479151373416918812532794690491367,0.028,0.029,0.971,0.972,1.001,-0.0009999999999998899,-0.09990009990008891
Will Nikki Haley win the 2028 Republican presidential nomination?,30919109558246209971545892228598482722881502507049010402392877610451001659386,26953454878227822916154850804639118151137570755140575650667657375528451821297,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Vivek Ramaswamy win the 2028 Republican presidential nomination?,7847177314809025001842027337093046201021185723933452855314998541165696902642,61638209040977576407645319654548998972645370498978369829582391676362965890344,0.002,0.003,0.997,0.998,1.001,-0.0009999999999998899,-0.09990009990008891
Will Greg Abbott win the 2028 Republican presidential nomination?,51109358167525503124101840618196204295486048568333812245607026343682053354150,105260987547015135110430961088356552513173217328170504644895138366924523280544,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Robert F. Kennedy Jr. win the 2028 Republican presidential nomination?,85795532452312461688342921814235563171225750416821603832877839950165564679042,39330841918533865878755515006696866431225622573860977548617538419162581783990,0.002,0.003,0.997,0.998,1.001,-0.0009999999999998899,-0.09990009990008891
Will Brian Kemp win the 2028 Republican presidential nomination?,109121432238307135312607668741094299588249627783575654034498708660414246884093,26528147249337195767129586250556983229143036006556368874091657477633405171243,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Byron Donalds win the 2028 Republican presidential nomination?,311624663652221737215322113380496984764966764039692273354641152455298576851,43292374563904271719486871569114922516560719431752184778538513591321835161630,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Elise Stefanik win the 2028 Republican presidential nomination?,46762065358788748743762617584400316865170283087328708370205000691002445395596,6106142631847917497743561296507558396893160722310876727437797090897927202403,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Josh Hawley win the 2028 Republican presidential nomination?,16959950591508656523048029588253513417107455151269158025695062757254216051157,67257241906349232705880054817671247803154024437556078414309396160231441958063,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ted Cruz win the 2028 Republican presidential nomination?,75602319799101799832214450648958470414659751617273540482126444460192042893239,67427191791815068910367164354907762897739120962449893449251138341231627575633,0.018,0.019,0.981,0.982,1.001,-0.0009999999999998899,-0.09990009990008891
Will Elon Musk win the 2028 Republican presidential nomination?,97933607699985149274021900377397416175605196663149372937380275158258659161873,91654279459782700285030880702186010885362170180157997195869175981321159591151,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Katie Britt win the 2028 Republican presidential nomination?,42282542821681724515855150589432262778581936160356547088323204270366545065655,16356411122994156106976113515543626616680005491893556174464804958397610666717,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Kristi Noem win the 2028 Republican presidential nomination?,46777072088650922464797852907503479539785178123001199763117403684202580813104,72681113618462806097972236701451065622180139607703509985766492272651534581276,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Mike Pence win the 2028 Republican presidential nomination?,110467341601356058460373968989438018821471776813704553223329002744055822742107,11478861872612841666414979216747716059947331582670297431884562915546151249374,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Tucker Carlson win the 2028 Republican presidential nomination?,78994573210477487932611223094751007094801552166562252085708682076112788032998,8140793935596394912663577132141762112024484538385519683062085870219967913900,0.031,0.032,0.968,0.969,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ivanka Trump win the 2028 Republican presidential nomination?,64219883837418173804780196379638150140562767673275103175135949850170609939649,38205061485482832990648495179350163959936416627781540057460551493511094122497,0.008,0.01,0.99,0.992,1.002,-0.0020000000000000018,-0.19960079840319378
Will Rand Paul win the 2028 Republican presidential nomination?,56369772478534954338683665819559528414197495274302917800610633957542171787417,97912974556505097471140703824534539631227593711361303698649171859837355186863,0.001,0.003,0.997,0.999,1.002,-0.0020000000000000018,-0.19960079840319378
Will Steve Bannon win the 2028 Republican presidential nomination?,76572162491038773682779378100661251853152133818805423848523216103658476280587,25583872291729778177187717614560645987351882646783629615247519807465184364234,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Kim Kardashian win the 2028 Republican presidential nomination?,10651968542740640896482407431367624536081358925965856338872110525887291512129,103086387269187122378314827672946076309261054730475021633767467850510078119868,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Marjorie Taylor Greene win the 2028 Republican presidential nomination?,65830295349944471218641822318218876930376684645620468557619951782520997909982,33372330947023860525870630758549137902170576919090726047009795835189818269107,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Thomas Massie win the 2028 Republican presidential nomination?,99700879015134724880665931256853704724897234270130475786057704135245843006310,94171791097080152294329103174901345850282375147106800117496695577931335275209,0.006,0.007,0.993,0.994,1.001,-0.0009999999999998899,-0.09990009990008891
Will Eric Trump win the 2028 Republican presidential nomination?,57919459237478987490046512369779809927967587873586488155446781256559839871449,58389730991380235726868542531087058690762163352908563301611948484975927797504,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Joe Kent win the 2028 Republican presidential nomination?,79109138136144804495019974949003266649145803384760006308278371005319168843129,65030375464178446496570525340832652143777619585997981475842311804446352421562,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Pete Hegseth win the 2028 Republican presidential nomination?,98511916129081689027111328481059704559518789751071585689160934736837069796376,9858445493903501648722765041195521587435370553699986326259923783724888628821,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Candace Owens win the 2028 Republican presidential nomination?,103583503429104930194497628126914667755033911422951268976034178026550261878964,104506727636149041299659366434997071904261219660415251973928167233993662044749,0.002,0.003,0.997,0.998,1.001,-0.0009999999999998899,-0.09990009990008891
Will Tom Cotton win the 2028 Republican presidential nomination?,77183606580201228784494296983790614769416656107808766333251588423667839654708,92749143123473934444426129987774935901545805213978581951879870684552179450628,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will John N. Kennedy win the 2028 Republican presidential nomination?,52127875867399588054194710342778109102486347178324348183699958260007957798072,102692434673241315471428412526452716105300637006077337435076015428674181452604,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will the Democratic Party control the Senate after the 2026 Midterm elections?,113287701564209339913693347405685749986285999146352375265161592243948562084773,107118433685650702332040991454078902188473746599223732907923581436160160612542,0.6,0.61,0.39,0.4,1.01,-0.010000000000000009,-0.990099009900991
Will the Republican Party control the Senate after the 2026 Midterm elections?,51939490109676186832507970701169130490548061087912630009168726706475001411420,108587038225191871355030577171066853142535232042155117887981453750193713427381,0.38,0.39,0.61,0.62,1.01,-0.010000000000000009,-0.990099009900991
Will the Democratic Party control the House after the 2026 Midterm elections?,83247781037352156539108067944461291821683755894607244160607042790356561625563,33156410999665902694791064431724433042010245771106314074312009703157423879038,0.92,0.93,0.07,0.08,1.01,-0.010000000000000009,-0.990099009900991
Will the Republican Party control the House after the 2026 Midterm elections?,65139230827417363158752884968303867495725894165574887635816574090175320800482,17371217118862125782438074585166210555214661810823929795910191856905580975576,0.07,0.08,0.92,0.93,1.01,-0.010000000000000009,-0.990099009900991
"2026 Balance of Power: D Senate, D House",34722410608062854697106861099776685947172185964394483545370684749662285977831,24483563228660028121020430722896740519524131851526579619586176931221901842798,0.6,0.61,0.39,0.4,1.01,-0.010000000000000009,-0.990099009900991
"2026 Balance of Power: D Senate, R House",70997927349469817841862065582625658840347600365813612622959588796331622340305,45720947308530468765087874228584729250108790729495800420104302263408503667446,0.01,0.013,0.987,0.99,1.003,-0.0029999999999998916,-0.2991026919242165
"2026 Balance of Power: R Senate, D House",6302359956133594764084277082169634158291609371270652093164054687145970756151,558600218792430158020964384658762756367786275998757133304987611939841005404,0.3,0.31,0.69,0.7,1.01,-0.010000000000000009,-0.990099009900991
"2026 Balance of Power: R Senate, R House",103704141773947678931823410030956181918562062788486034785782641603149828893320,25869296386911654049715489068824757745174681288397238521780118949553760488529,0.07,0.08,0.92,0.93,1.01,-0.010000000000000009,-0.990099009900991
2026 Balance of Power: Other,35477631289241705233759154026285946627439635224019448868888132647783862821489,58154574909590813657096858535882625339077077643653677858955479541043465171526,0.001,0.003,0.997,0.999,1.002,-0.0020000000000000018,-0.19960079840319378
