question,yes_token,no_token,quantity,status,yes_cost,no_cost,total_cost,yes_average_price,no_average_price,gross_profit,gross_profit_pct
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,10,fully_filled,0.8999999999999999,9.120000000000001,10.020000000000001,0.09,0.9120000000000001,-0.02000000000000135,-0.19960079840320705
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,50,fully_filled,4.5,45.6,50.1,0.09,0.912,-0.10000000000000142,-0.19960079840319644
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,100,fully_filled,9.0,91.2,100.2,0.09,0.912,-0.20000000000000284,-0.19960079840319644
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,250,fully_filled,22.5,228.0,250.5,0.09,0.912,-0.5,-0.19960079840319359
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,500,fully_filled,45.0,456.0,501.0,0.09,0.912,-1.0,-0.19960079840319359
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,1000,fully_filled,90.0,912.0,1002.0,0.09,0.912,-2.0,-0.19960079840319359
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,10,fully_filled,0.05,9.96,10.010000000000002,0.005,0.9960000000000001,-0.010000000000001563,-0.09990009990011549
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,50,fully_filled,0.25,49.8,50.05,0.005,0.996,-0.04999999999999716,-0.09990009990009421
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,100,fully_filled,0.5,99.6,100.1,0.005,0.996,-0.09999999999999432,-0.09990009990009421
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,250,fully_filled,1.3464300000000002,249.0,250.34643,0.005385720000000001,0.996,-0.346429999999998,-0.13838024372865954
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,500,fully_filled,2.8464300000000002,498.0,500.84643,0.00569286,0.996,-0.846429999999998,-0.1689999068177441
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,1000,fully_filled,5.846430000000001,996.0,1001.84643,0.0058464300000000005,0.996,-1.8464300000000549,-0.18430269796939383
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,10,fully_filled,0.26,9.75,10.01,0.026000000000000002,0.975,-0.009999999999999787,-0.09990009990009778
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,50,fully_filled,1.3164799999999999,48.75,50.06648,0.026329599999999998,0.975,-0.06647999999999854,-0.13278345112338344
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,100,fully_filled,2.66648,97.5,100.16648,0.0266648,0.975,-0.16648000000000707,-0.16620330473827877
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,250,fully_filled,6.71648,243.83987,250.55634999999998,0.026865919999999998,0.97535948,-0.5563499999999806,-0.22204585914505087
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,500,fully_filled,13.46648,487.83987,501.30635,0.026932960000000002,0.97567974,-1.306350000000009,-0.2605891587050531
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,1000,fully_filled,26.96648,975.83987,1002.8063500000001,0.02696648,0.97583987,-2.806350000000066,-0.2798496439517027
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,10,fully_filled,1.7199999999999998,8.29,10.009999999999998,0.172,0.829,-0.00999999999999801,-0.09990009990008003
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,50,fully_filled,8.6,41.449999999999996,50.05,0.172,0.829,-0.04999999999999716,-0.09990009990009421
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,100,fully_filled,17.2,82.89999999999999,100.1,0.172,0.829,-0.09999999999999432,-0.09990009990009421
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,250,fully_filled,43.0,207.25,250.25,0.172,0.829,-0.25,-0.0999000999000999
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,500,fully_filled,86.0,414.5,500.5,0.172,0.829,-0.5,-0.0999000999000999
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,1000,fully_filled,172.0,829.0,1001.0,0.172,0.829,-1.0,-0.0999000999000999
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,10,fully_filled,0.04,9.97,10.01,0.004,0.9970000000000001,-0.009999999999999787,-0.09990009990009778
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,50,fully_filled,0.2,49.85,50.050000000000004,0.004,0.997,-0.05000000000000426,-0.0999000999001084
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,100,fully_filled,0.4,99.7,100.10000000000001,0.004,0.997,-0.10000000000000853,-0.0999000999001084
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,250,fully_filled,1.0,249.25,250.25,0.004,0.997,-0.25,-0.0999000999000999
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,500,fully_filled,2.0,498.5,500.5,0.004,0.997,-0.5,-0.0999000999000999
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,1000,fully_filled,4.0,997.0,1001.0,0.004,0.997,-1.0,-0.0999000999000999
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,10,fully_filled,0.13,9.879999999999999,10.01,0.013000000000000001,0.9879999999999999,-0.009999999999999787,-0.09990009990009778
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,50,fully_filled,0.65,49.4,50.05,0.013000000000000001,0.988,-0.04999999999999716,-0.09990009990009421
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,100,fully_filled,1.3,98.8,100.1,0.013000000000000001,0.988,-0.09999999999999432,-0.09990009990009421
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,250,fully_filled,3.25,247.0,250.25,0.013,0.988,-0.25,-0.0999000999000999
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,500,fully_filled,6.63758,494.0,500.63758,0.01327516,0.988,-0.637580000000014,-0.12735360377860847
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,1000,fully_filled,13.63758,988.0,1001.63758,0.01363758,0.988,-1.6375799999999572,-0.1634902716010273
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,10,fully_filled,0.06,9.95,10.01,0.006,0.9949999999999999,-0.009999999999999787,-0.09990009990009778
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,50,fully_filled,0.3,49.75,50.05,0.006,0.995,-0.04999999999999716,-0.09990009990009421
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,100,fully_filled,0.6,99.5,100.1,0.006,0.995,-0.09999999999999432,-0.09990009990009421
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,250,fully_filled,1.5,248.75,250.25,0.006,0.995,-0.25,-0.0999000999000999
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,500,fully_filled,3.0,497.5,500.5,0.006,0.995,-0.5,-0.0999000999000999
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,1000,fully_filled,6.0,995.0,1001.0,0.006,0.995,-1.0,-0.0999000999000999
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,10,fully_filled,0.06,9.95,10.01,0.006,0.9949999999999999,-0.009999999999999787,-0.09990009990009778
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,50,fully_filled,0.3,49.75,50.05,0.006,0.995,-0.04999999999999716,-0.09990009990009421
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,100,fully_filled,0.6,99.5,100.1,0.006,0.995,-0.09999999999999432,-0.09990009990009421
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,250,fully_filled,1.5,248.75,250.25,0.006,0.995,-0.25,-0.0999000999000999
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,500,fully_filled,3.0,497.5,500.5,0.006,0.995,-0.5,-0.0999000999000999
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,1000,fully_filled,6.41652,995.0,1001.41652,0.00641652,0.995,-1.4165199999999913,-0.14145163093574603
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,10,not_fully_fillable,,,,,,,
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,50,not_fully_fillable,,,,,,,
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,100,not_fully_fillable,,,,,,,
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,250,not_fully_fillable,,,,,,,
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,500,not_fully_fillable,,,,,,,
Will Tim Walz win the 2028 Democratic presidential nomination?,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,1000,not_fully_fillable,,,,,,,
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,10,fully_filled,0.03,9.98,10.01,0.003,0.998,-0.009999999999999787,-0.09990009990009778
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,50,fully_filled,0.15,49.9,50.05,0.003,0.998,-0.04999999999999716,-0.09990009990009421
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,100,fully_filled,0.3,99.8,100.1,0.003,0.998,-0.09999999999999432,-0.09990009990009421
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,250,fully_filled,0.75,249.5,250.25,0.003,0.998,-0.25,-0.0999000999000999
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,500,fully_filled,1.5,499.0,500.5,0.003,0.998,-0.5,-0.0999000999000999
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,1000,fully_filled,3.0,998.0,1001.0,0.003,0.998,-1.0,-0.0999000999000999
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,10,fully_filled,0.31,9.7,10.01,0.031,0.97,-0.009999999999999787,-0.09990009990009778
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,50,fully_filled,1.55,48.5,50.05,0.031,0.97,-0.04999999999999716,-0.09990009990009421
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,100,fully_filled,3.1,97.0,100.1,0.031,0.97,-0.09999999999999432,-0.09990009990009421
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,250,fully_filled,7.75,242.59667000000002,250.34667000000002,0.031,0.9703866800000001,-0.34667000000001735,-0.1384759781306527
