market_index,question,status,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,yes_quantity,no_quantity,yes_notional,no_notional,total_cost,gross_profit,gross_profit_pct
11,Will Jon Ossoff win the 2028 Democratic presidential nomination?,no_arbitrage,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,0.164,0.165,0.835,0.836,51.56,3345.25,8.5074,2796.629,1.001,-0.0009999999999998899,-0.09990009990008891
12,Will Mark Cuban win the 2028 Democratic presidential nomination?,no_arbitrage,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,0.003,0.004,0.996,0.997,36283.14,6266.85,145.13256,6248.04945,1.001,-0.0009999999999998899,-0.09990009990008891
13,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,no_arbitrage,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,0.012,0.013,0.987,0.988,306.76,5559.61,3.9878799999999996,5492.894679999999,1.001,-0.0009999999999998899,-0.09990009990008891
14,Will Raphael Warnock win the 2028 Democratic presidential nomination?,no_arbitrage,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,0.005,0.006,0.994,0.995,1173909.54,89573.23,7043.457240000001,89125.36385,1.001,-0.0009999999999998899,-0.09990009990008891
15,Will Cory Booker win the 2028 Democratic presidential nomination?,no_arbitrage,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,0.005,0.006,0.994,0.995,589.2,37544.13,3.5352000000000006,37356.409349999994,1.001,-0.0009999999999998899,-0.09990009990008891
16,Will Tim Walz win the 2028 Democratic presidential nomination?,missing_no_ask,104464678880204778606895232389511543522030897731392516718349574106843434770446,90935594925886073322524509252821043048115343298080885997215308777385571383769,,0.001,0.999,,792663.79,0.0,792.6637900000001,0.0,,,
17,Will Michelle Obama win the 2028 Democratic presidential nomination?,no_arbitrage,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,0.002,0.003,0.997,0.998,84336.57,39993.29,253.00971,39913.303420000004,1.001,-0.0009999999999998899,-0.09990009990008891
18,Will Mark Kelly win the 2028 Democratic presidential nomination?,no_arbitrage,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,0.03,0.031,0.969,0.97,14704.65,178.28,455.84415,172.9316,1.001,-0.0009999999999998899,-0.09990009990008891
19,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,no_arbitrage,10521981432803570450946212503203364998108630328528216082760514453664705157397,91949042216127305292438280992722171735754548787382833799906976841509942727662,0.018,0.019,0.981,0.982,1674.97,1991.49,31.82443,1955.64318,1.001,-0.0009999999999998899,-0.09990009990008891
20,Will Gina Raimondo win the 2028 Democratic presidential nomination?,no_arbitrage,35165603539035270209469650915267170915291414186795231160733227083640059691764,82254794773423437491598574581796732934760602553828664932786984448280136473130,0.001,0.002,0.998,0.999,124175.78,672885.86,248.35156,672212.97414,1.001,-0.0009999999999998899,-0.09990009990008891
21,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,no_arbitrage,19323997520040734631220675039559156784534982703459512097490198935565229528445,111309365336519526711604102518316708823622751854213281307404397618571408959194,0.001,0.002,0.998,0.999,89169.88,552008.64,178.33976,551456.63136,1.001,-0.0009999999999998899,-0.09990009990008891
22,Will Roy Cooper win the 2028 Democratic presidential nomination?,no_arbitrage,30732552320006664177902085971957467957450485111214036633872573588757974348601,55053374667733007627913689484290555932799177921000957543346276204775142445823,0.001,0.002,0.998,0.999,134031.07,138982.42,268.06214,138843.43758000003,1.001,-0.0009999999999998899,-0.09990009990008891
23,Will John Fetterman win the 2028 Democratic presidential nomination?,missing_no_ask,71289010523270989807437428651002770360280908813019627976988032260868574107425,68686505966910102763700888296813272792512562699674656659355148432859571994559,,0.001,0.999,,1053473.32,0.0,1053.47332,0.0,,,
24,Will Jared Polis win the 2028 Democratic presidential nomination?,no_arbitrage,42119164854283656238382173699154739480090965550328051492328192273011556335098,39150381508679235943386404690610035044747196600759141560840372170757042543675,0.001,0.002,0.998,0.999,214339.91,58852.27,428.67982,58793.417729999994,1.001,-0.0009999999999998899,-0.09990009990008891
25,Will Jon Stewart win the 2028 Democratic presidential nomination?,no_arbitrage,58343456405874365460518182619380252930558598368174305791768670198253267891911,84566561349071752664514432513198569980219178901068420341175150225620958953893,0.003,0.004,0.996,0.997,256.44,1226.22,1.02576,1222.54134,1.001,-0.0009999999999998899,-0.09990009990008891
26,Will Barack Obama win the 2028 Democratic presidential nomination?,no_arbitrage,88927218779847397120407909832537568114340511586397698395193736044476021744522,93993883668914241189795812807312922412111034935516092303580333564217329905759,0.001,0.002,0.998,0.999,138015.21,114824.58,276.03042,114709.75542,1.001,-0.0009999999999998899,-0.09990009990008891
27,Will Hillary Clinton win the 2028 Democratic presidential nomination?,no_arbitrage,6349038249650226718426900942104344803413105653564595362433352811865798195800,57931882677606943294773135604094039468334392354204920135953322654005083822055,0.001,0.002,0.998,0.999,74.75,96120.53,0.1495,96024.40947,1.001,-0.0009999999999998899,-0.09990009990008891
28,Will Liz Cheney win the 2028 Democratic presidential nomination?,missing_no_ask,41340056280794024415573839406074658402877379128871144681466050648033201160259,63802361760137863513735993346883582181207639895442036953936089060482564982249,,0.001,0.999,,476840.55,0.0,476.84055,0.0,,,
29,Will Bernie Sanders win the 2028 Democratic presidential nomination?,no_arbitrage,113510300123120868861281132282742729065975487298059944817273881893086209196585,3444964147133304300560138317203877470064591148213906708394693248804691192318,0.004,0.005,0.995,0.996,9575.91,2256.74,47.87955,2247.7130399999996,1.001,-0.0009999999999998899,-0.09990009990008891
30,Will Phil Murphy win the 2028 Democratic presidential nomination?,no_arbitrage,81633484456710374417231462107666791993850637546563366185897100962157481970040,114507466536734360808195115190160357255467689128176113085692265197019898971527,0.001,0.002,0.998,0.999,302770.11,45870.04,605.54022,45824.16996,1.001,-0.0009999999999998899,-0.09990009990008891
31,Will LeBron James win the 2028 Democratic presidential nomination?,missing_no_ask,100561779829530520068956424581003844045516012444425572625523659025114550346085,46254744034025107660239982269249567113656697231872036621777316158933638064598,,0.001,0.999,,258495.76,0.0,258.49576,0.0,,,
32,Will Hunter Biden win the 2028 Democratic presidential nomination?,no_arbitrage,11343337042526652606304508556838778144915122118685013460142819817079620240439,19117858613830240204442128472263675815111662346578092643025820800380629933012,0.004,0.006,0.994,0.996,40753.16,14811.43,244.51896000000002,14752.18428,1.002,-0.0020000000000000018,-0.19960079840319378
33,Will George Clooney win the 2028 Democratic presidential nomination?,missing_no_ask,48218088132821386640274752564592889805082274744128282833036735027928992155024,5645396948464928632054207670692862818297222862819597089648758232622731040046,,0.001,0.999,,463322.17,0.0,463.32216999999997,0.0,,,
34,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,no_arbitrage,46211769122513729244602558513001215391004042100934296321661285791281233261657,76057920052421891902791411567177996435483774677774664174053982044923692373687,0.006,0.007,0.993,0.994,10.2,307.29,0.07139999999999999,305.44626,1.001,-0.0009999999999998899,-0.09990009990008891
35,Will MrBeast win the 2028 Democratic presidential nomination?,missing_no_ask,51035537065442638321333063915918274102446051033989435618245745345113522914516,93910251767329056141706007839545721784238465183449597462421810827705938093892,,0.001,0.999,,101613.3,0.0,101.61330000000001,0.0,,,
36,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,no_arbitrage,40963724357262746498642320898188195118391211877976821531149510360187173789737,14959910401705469574520698331840889689202579612030624016640567510369602599866,0.011,0.012,0.988,0.989,18935.79,725.04,227.22948000000002,717.0645599999999,1.001,-0.0009999999999998899,-0.09990009990008891
37,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,missing_no_ask,2213957649161627793381994368131485505647723208738124952452819345058597751695,44046525152074436753629616217525652949736205933417533647338274649282385796755,,0.001,0.999,,216808.69,0.0,216.80869,0.0,,,
38,Will Andrew Yang win the 2028 Democratic presidential nomination?,no_arbitrage,102504892414163237174864879683522880588750452841477290216845150938663289742135,21234886083000978203440582985665409733123024063268807484684316771005736994028,0.001,0.002,0.998,0.999,830058.7,485465.07,1660.1173999999999,484979.60493000003,1.001,-0.0009999999999998899,-0.09990009990008891
39,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,missing_no_ask,37126434962149084556522721025504254258386171468763869879755961635390358765833,2426274669138238576933962603416907393958833898063513872892433203206006096668,,0.001,0.999,,941615.31,0.0,941.61531,0.0,,,
40,Will Kim Kardashian win the 2028 Democratic presidential nomination?,missing_no_ask,55087250670040717711131370018408221134109122974378698780636020561523521220754,108145967398435925971960442906832714254932011684365058146885679351681137451999,,0.001,0.999,,442504.04,0.0,442.50404,0.0,,,
41,Will Chris Murphy win the 2028 Democratic presidential nomination?,no_arbitrage,8815924480259634499011776432080696931704057619336093802050596292915996723758,45099054006923138281311463758770234951153596952213440096254242321807308634603,0.004,0.005,0.995,0.996,3783.03,35836.26,18.91515,35692.91496,1.001,-0.0009999999999998899,-0.09990009990008891
42,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,no_arbitrage,22103094389913052942362639589409218272323168761614999702665821259175535456835,10893367019711826592833821276710094799225035200719824531380610476790390190688,0.001,0.002,0.998,0.999,7198.4,101900.23,14.396799999999999,101798.32977,1.001,-0.0009999999999998899,-0.09990009990008891
43,Will Ruben Gallego win the 2028 Democratic presidential nomination?,no_arbitrage,94658518227479141344875476648819337938746150529318297759951212169676959854478,89549550119611798541187132573193884477265258658615163602217456913355320927577,0.001,0.002,0.998,0.999,86676.62,162109.87,173.35324,161947.76013,1.001,-0.0009999999999998899,-0.09990009990008891
44,Will Ro Khanna win the 2028 Democratic presidential nomination?,no_arbitrage,20374050108659687356429749447884880983779889840007423115803042125707701269498,2610336024939503976910443133965525155112118948066646227040491461288298872236,0.013,0.014,0.986,0.987,6273.52,3965.66,87.82928000000001,3914.1064199999996,1.001,-0.0009999999999998899,-0.09990009990008891
45,Will James Talarico win the 2028 Democratic presidential nomination?,no_arbitrage,52535923606561722941567320365820395300598958985353103429657683100920373025261,20643805904661385280242837899001038341346631607217619709766724611396929658707,0.024,0.025,0.975,0.976,9641.0,350.75,241.025,342.332,1.001,-0.0009999999999998899,-0.09990009990008891
46,Will Graham Platner win the 2028 Democratic presidential nomination?,missing_no_ask,54840717483866263964304723492966182979723045222316848733193673523986124053075,2830559553603011758209706316487895188007644895898957662939818867834634821212,,0.001,0.999,,855871.63,0.0,855.87163,0.0,,,
47,Will Abigail Spanberger win the 2028 Democratic presidential nomination?,no_arbitrage,67834126955354466786049932246962827069514258320708123726234642047236874537300,85842730802801029317331291122638780955014362480310249655739704629273608465884,0.001,0.002,0.998,0.999,56424.76,1231956.72,112.84952000000001,1230724.76328,1.001,-0.0009999999999998899,-0.09990009990008891
48,Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,no_arbitrage,23940655822937666554179928631365405234554137716172612284986318717257054413669,74558297484750387958365610940184220316219182006445006209048673137036909262424,0.001,0.002,0.998,0.999,353355.67,685130.74,706.71134,684445.6092599999,1.001,-0.0009999999999998899,-0.09990009990008891
49,Will Elissa Slotkin win the 2028 Democratic presidential nomination?,no_arbitrage,48455736546094517370011063312529885328905072240106316551156607253162886762655,21910945789202551310737182019481519202352824012676720876277298283641159588352,0.001,0.002,0.998,0.999,214318.6,1615419.32,428.6372,1613803.90068,1.001,-0.0009999999999998899,-0.09990009990008891
50,Will Adam Schiff win the 2028 Democratic presidential nomination?,missing_no_ask,62721325588078416441678692954905586544000289214339415151384834742710012983810,4587616472715295492925849115245921456579283399977029619430824277410859697,,0.001,0.999,,1218554.63,0.0,1218.5546299999999,0.0,,,
51,Will Josh Stein win the 2028 Democratic presidential nomination?,no_arbitrage,88892629978057552473594496509394432528313837466696628191322608851106929962536,86408082986810982428934766746057237103501895775284376283076301431054177694153,0.001,0.002,0.998,0.999,1778355.99,932068.44,3556.71198,931136.37156,1.001,-0.0009999999999998899,-0.09990009990008891
52,Will Alex Padilla win the 2028 Democratic presidential nomination?,missing_no_ask,70419914298819599884598619432566620509485573636622456902301761941886565776666,17607158498290934698430813319324932561291042726975634499432565780430086473903,,0.001,0.999,,547883.15,0.0,547.88315,0.0,,,
53,"Putin out as President of Russia by December 31, 2026?",no_arbitrage,350977769852917329387037893294763093471844346281449484439085576212613048126,87073899845581463485186346288398658568334162612963837182986759797304993556208,0.04,0.05,0.95,0.96,97616.51,15365.53,4880.8255,14750.9088,1.01,-0.010000000000000009,-0.990099009900991
54,Will JD Vance win the 2028 US Presidential Election?,no_arbitrage,16040015440196279900485035793550429453516625694844857319147506590755961451627,94476829201604408463453426454480212459887267917122244941405244686637914508323,0.207,0.208,0.792,0.793,3873.39,999.92,805.6651199999999,792.93656,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
55,Will Gavin Newsom win the 2028 US Presidential Election?,no_arbitrage,98250445447699368679516529207365255018790721464590833209064266254238063117329,18823838997443878656879952590502524526556504037944392973476854588563571859850,0.079,0.082,0.918,0.921,438.35,1925.27,35.944700000000005,1773.1736700000001,1.0030000000000001,-0.0030000000000001137,-0.2991026919242386
56,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,no_arbitrage,8113830512143065501177519557124858581375945005490796772950589720955457782465,11493926619286817179231142642565394485790380952577225820901334479399429951651,0.13,0.131,0.869,0.87,636.34,16383.59,83.36054000000001,14253.7233,1.001,-0.0009999999999998899,-0.09990009990008891
57,Will Pete Buttigieg win the 2028 US Presidential Election?,no_arbitrage,35629456194498013232473191985311930903993567273832459837879398120893197410860,26087406687932108531005204502244492184534000122992461059156880611150953145122,0.026,0.027,0.973,0.974,19745.11,7493.9,533.11797,7299.058599999999,1.001,-0.0009999999999998899,-0.09990009990008891
58,Will Josh Shapiro win the 2028 US Presidential Election?,no_arbitrage,1420113190297259908358916251277696183671602680024474979931472444792502392139,9195312844128905514645503106857912558078141569888031031723687687489317147622,0.03,0.031,0.969,0.97,7738.13,8173.17,239.88203000000001,7927.9749,1.001,-0.0009999999999998899,-0.09990009990008891
59,Will Marco Rubio win the 2028 US Presidential Election?,no_arbitrage,11171618905857319805355893398009978356002287408842633593535559412449299952250,65892530750232246342273648992064742042382898919201083513241874070914353628268,0.088,0.089,0.911,0.912,1068.96,1662.7,95.13744,1516.3824000000002,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
60,Will Wes Moore win the 2028 US Presidential Election?,no_arbitrage,35272507273162958827997790327967872292415567859334925862043618606081750011897,374661216370333715221919731169956915917040066803205972387948453758235235593,0.008,0.009,0.991,0.992,22284.4,48457.51,200.5596,48069.84992,1.001,-0.0009999999999998899,-0.09990009990008891
61,Will Gretchen Whitmer win the 2028 US Presidential Election?,no_arbitrage,4999047257294547885970323631312419427544062131054733229841947946130772277335,102084577517225131375286042838758381959278092930102485541091152099183604495224,0.003,0.004,0.996,0.997,30889.81,32552.63,123.55924,32454.972110000002,1.001,-0.0009999999999998899,-0.09990009990008891
62,Will Andy Beshear win the 2028 US Presidential Election?,no_arbitrage,50507496430692162923857760920722624157737138256097150616293040054748564876552,53112547591746110422238703365888013497196468199611167129486770819598374380742,0.01,0.011,0.989,0.99,26870.18,7638.58,295.57198,7562.1942,1.001,-0.0009999999999998899,-0.09990009990008891
63,Will Glenn Youngkin win the 2028 US Presidential Election?,no_arbitrage,631059815958854406224163480574507434200946764542129005247984171366597476420,100418331065194201410948024347944500798513421135064468615649525110872253639397,0.001,0.002,0.998,0.999,24678.65,720944.43,49.3573,720223.48557,1.001,-0.0009999999999998899,-0.09990009990008891
64,Will Kamala Harris win the 2028 US Presidential Election?,no_arbitrage,70663352401606372246362604193214664065595751757222752105245221905399175050480,4988819538339626436114997160558538168652916536529198363646261454228218983102,0.046,0.047,0.953,0.954,26761.34,1353.42,1257.78298,1291.16268,1.001,-0.0009999999999998899,-0.09990009990008891
65,Will Stephen Smith win the 2028 US Presidential Election?,missing_no_ask,105367778020161609482094090847463497982204321259381518614669619753184648647559,12867420029045504056332323771270227403424313645832702673618751920867223902054,,0.001,0.999,,380276.02,0.0,380.27602,0.0,,,
66,Will JB Pritzker win the 2028 US Presidential Election?,no_arbitrage,70948731404464821824516595498024506131170394300814446118501620719416471444076,111825297267676135304812085666512747626812691749338692567733264184356420470119,0.004,0.005,0.995,0.996,41235.59,129250.75,206.17794999999998,128733.747,1.001,-0.0009999999999998899,-0.09990009990008891
67,Will Tulsi Gabbard win the 2028 US Presidential Election?,no_arbitrage,97633418272282627828834872960145259034624388719803091466146359304286851612172,17854429586516792397214557963923647011517685971868312042416963526864862523185,0.001,0.002,0.998,0.999,719177.0,54282.25,1438.354,54227.96775,1.001,-0.0009999999999998899,-0.09990009990008891
68,Will Donald Trump win the 2028 US Presidential Election?,no_arbitrage,11807691644868166983390207408868795383945915035851758101409310535538572683733,72656506786460378316387284276713856836841708169262528054985577978493419440428,0.011,0.015,0.985,0.989,1047.0,31.34,15.705,30.99526,1.004,-0.0040000000000000036,-0.39840637450199234
69,Will Donald Trump Jr. win the 2028 US Presidential Election?,no_arbitrage,77660944053451874285291959901958937238149180369572698706675030657716494119346,52761630651452310319295064365704431564140478140269624735570317771849185169635,0.004,0.005,0.995,0.996,12406.95,61525.85,62.03475,61279.7466,1.001,-0.0009999999999998899,-0.09990009990008891
70,Will Nikki Haley win the 2028 US Presidential Election?,missing_no_ask,14253956839582698877884742930225331487593177635330318923853046874994118249367,84386913213192310444216977895083273572419886997719576824320630372812149173320,,0.001,0.999,,1636819.76,0.0,1636.81976,0.0,,,
71,Will Ron DeSantis win the 2028 US Presidential Election?,no_arbitrage,104480514270625615787868282411330496385404675495672110015326625654626015018993,65724430065358897810064400118831287249960059855415477063660293398018349529272,0.016,0.02,0.98,0.984,572.65,800.49,11.453,787.68216,1.004,-0.0040000000000000036,-0.39840637450199234
72,Will Tim Walz win the 2028 US Presidential Election?,missing_no_ask,2638997461401140008448476093092229850740161649668999975101243681118238509713,31711509411930636383466083293019394636501894118049148509527295292186501260570,,0.001,0.999,,993802.27,0.0,993.80227,0.0,,,
73,Will Vivek Ramaswamy win the 2028 US Presidential Election?,missing_no_ask,48067717079255656974334181122173546721823870434119599450595298250019538972254,50325246165657443726245430907883748796540778371466135108478470877169556977248,,0.001,0.999,,70912.28,0.0,70.91228,0.0,,,
74,Will Greg Abbott win the 2028 US Presidential Election?,no_arbitrage,58585097107933138034126275600204468509993701936571284309823871593297754181479,104431860535489654020481219089291817898241901940037260095979653681449084465327,0.003,0.005,0.995,0.997,22107.64,3841.2,110.5382,3829.6764,1.002,-0.0020000000000000018,-0.19960079840319378
75,Will Elon Musk win the 2028 US Presidential Election?,no_arbitrage,26641906520532802078452346454133721131611596169940893262820937050881742190686,59064132013843281708610372809406242099497812053529304284160897825180883604145,0.001,0.002,0.998,0.999,828490.59,581502.73,1656.98118,580921.22727,1.001,-0.0009999999999998899,-0.09990009990008891
76,Will LeBron James win the 2028 US Presidential Election?,missing_no_ask,39223330966352513418907732239455948906399882924787587183466504819170775983376,50862799703982327636174441241062907649998751737045006653560124656563256528691,,0.001,0.999,,1456143.61,0.0,1456.14361,0.0,,,
77,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,no_arbitrage,76252402837334795047528042167618984089231134882494719641438604550246396692717,82779978600617806806814031291287454099780828258739355925042203335968508676880,0.014,0.015,0.985,0.986,10575.28,1038.99,158.6292,1024.44414,1.001,-0.0009999999999998899,-0.09990009990008891
78,Will Tucker Carlson win the 2028 US Presidential Election?,no_arbitrage,45015916581148592087728250896178171120552786117190685135618507471166113474733,5353194854864999214467212176625447374807704051407621946584152368216621932371,0.015,0.016,0.984,0.985,4931.31,6149.44,78.90096000000001,6057.198399999999,1.001,-0.0009999999999998899,-0.09990009990008891
79,Will Kim Kardashian win the 2028 US Presidential Election?,missing_no_ask,24863363384036117015867671383779186335047493791693657275104567365292353535818,44632793419668141561343859504077903947361590865219599333832862239708628173864,,0.001,0.999,,901688.01,0.0,901.6880100000001,0.0,,,
80,Will Ivanka Trump win the 2028 US Presidential Election?,no_arbitrage,40932864651005132434669457369564353816786330205469778285035893634458129671101,56215025902031889702122383201324191240581604266667334383154318117703136383150,0.004,0.006,0.994,0.996,12970.63,499101.17,77.82378,497104.76532,1.002,-0.0020000000000000018,-0.19960079840319378
81,Will Zohran Mamdani win the 2028 US Presidential Election?,missing_no_ask,94621929236241392639802280031607240386237812521756048982107414565863464212526,37476438367629084207797870684242875797541797912993121111059056752005821579571,,0.001,0.999,,861906.79,0.0,861.90679,0.0,,,
82,Will Michelle Obama win the 2028 US Presidential Election?,no_arbitrage,88521269813605705303364598280494261510300497312149869577251450871617962933121,1970496541508335019913900195809032484597886384784144327835472760880523550630,0.001,0.002,0.998,0.999,85272.12,938203.62,170.54424,937265.41638,1.001,-0.0009999999999998899,-0.09990009990008891
83,Will Jamie Dimon win the 2028 US Presidential Election?,no_arbitrage,23692929455124171734375794579007643086071570310019729232490607671061438183936,30050897091642315762983745166096629857367320723415212749446858994810226049012,0.004,0.005,0.995,0.996,28595.91,71914.8,142.97955,71627.14080000001,1.001,-0.0009999999999998899,-0.09990009990008891
84,Will Ro Khanna win the 2028 US Presidential Election?,no_arbitrage,45264462342307496826883801236629887275526404999716050689931105511159370296978,21034003091803474219272633665814818485285721473911024023600356649009960505229,0.009,0.011,0.989,0.991,9452.74,433.75,103.98013999999999,429.84625,1.002,-0.0020000000000000018,-0.19960079840319378
85,Will Thomas Massie win the 2028 US Presidential Election?,no_arbitrage,89071282556584199015490241074221756662667488270789034763702585258138302536112,18620821165547265880582330532076859546462061138941862890257010665389427790094,0.01,0.011,0.989,0.99,5223.9,13.11,57.46289999999999,12.9789,1.001,-0.0009999999999998899,-0.09990009990008891
86,Will Jon Ossoff win the 2028 US Presidential Election?,no_arbitrage,110102705199530588976777616718115948005824665233400132417374621750887344831757,98394838816403247684221016468696784125095120854407803889228262583112436699261,0.115,0.116,0.884,0.885,10911.53,6566.18,1265.7374800000002,5811.0693,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
87,Will James Talarico win the 2028 US Presidential Election?,no_arbitrage,92909595831677784305960426832337551335132297174712723670055008600724483830120,26699870693127605012594021642110712356790266877635966965879322906179628109191,0.007,0.008,0.992,0.993,63579.8,489.81,508.63840000000005,486.38133,1.001,-0.0009999999999998899,-0.09990009990008891
88,Will Eric Trump win the 2028 US Presidential Election?,missing_no_ask,67028631656597977031363620447645908995417871899828777750494099295092202422178,92435534412344629891924787958876018882926476169555134960124357040149315497159,,0.001,0.999,,517380.83,0.0,517.3808300000001,0.0,,,
89,Will Pete Hegseth win the 2028 US Presidential Election?,missing_no_ask,19127703543758281171764934244436807153695715307017908811054254126168591609122,55988424779505974483153818818889528404380009581145395352086864710928569072171,,0.001,0.999,,303260.08,0.0,303.26008,0.0,,,
90,Will Jalen Brunson win the 2028 US Presidential Election?,missing_no_ask,102551965884513878228913656538331960551103243325173310298991321638711054206295,25024096730843207041631203687678604497004516683590537482462688974562400646963,,0.001,0.999,,1582253.49,0.0,1582.25349,0.0,,,
91,Will Abigail Spanberger win the 2028 US Presidential Election?,missing_no_ask,26300126250638962432368126833553865841971269530697411678483716322368818562639,56204927946241537265164149462328189883020469254625443960117418316112304974602,,0.001,0.999,,30143.02,0.0,30.14302,0.0,,,
92,Will Hakeem Jeffries win the 2028 US Presidential Election?,missing_no_ask,27324378907862915329653747321506298712990175671811760510867365204472005456284,92680287057439870681299584384986809628158268708309296202308169106990008539739,,0.001,0.999,,1186182.13,0.0,1186.18213,0.0,,,
93,Will Elissa Slotkin win the 2028 US Presidential Election?,no_arbitrage,48603794625473459817558518297806850992009615470611080215039575427157653927669,52728319505612554616109154570709065358779880697251731838206843628919066236833,0.001,0.002,0.998,0.999,1374691.69,100548.37,2749.3833799999998,100447.82162999999,1.001,-0.0009999999999998899,-0.09990009990008891
94,Will Adam Schiff win the 2028 US Presidential Election?,missing_no_ask,41714979268040478071540687092470339003658632436860166518888808949878005742810,64861611938661374970167075583118094920857040813468137850797111348162445000117,,0.001,0.999,,712782.33,0.0,712.78233,0.0,,,
95,Will Josh Stein win the 2028 US Presidential Election?,missing_no_ask,81914651028896069221591777664987513664858213907907450367169656205040430609207,65690056973061661242675346311703362078774633474188031871609738459615961194811,,0.001,0.999,,741326.45,0.0,741.32645,0.0,,,
